time,open,high,low,close,volume,day
17:58:00,103.52,103.57,103.44,103.52,1723180,1
17:59:00,103.5,103.56,103.47,103.55,162460,1
18:00:00,103.54,103.54,103.46,103.51,969690,1
18:01:00,103.5,103.52,103.46,103.5,659780,1
18:02:00,103.5,103.66,103.5,103.55,407700,1
18:03:00,103.52,103.6,103.52,103.56,75480,1
18:04:00,103.53,103.57,103.49,103.53,347370,1
18:05:00,103.51,103.56,103.44,103.51,845400,1
18:06:00,103.5,103.6,103.47,103.59,498060,1
18:07:00,103.57,103.59,103.44,103.52,625120,1
18:08:00,103.52,103.55,103.45,103.51,697310,1
18:09:00,103.5,103.5,103.1,103.26,1982740,1
18:10:00,103.25,103.26,103.14,103.18,285030,1
18:11:00,103.16,103.25,103.13,103.24,218950,1
18:12:00,103.25,103.26,103.1,103.17,850790,1
18:13:00,103.17,103.18,103.1,103.18,491280,1
18:14:00,103.18,103.19,102.94,103.15,4351870,1
18:15:00,103.12,103.16,103.06,103.13,216820,1
18:16:00,103.13,103.18,103.09,103.13,252330,1
18:17:00,103.16,103.16,103.09,103.09,184350,1
18:18:00,103.12,103.12,103.02,103.02,437540,1
18:19:00,103.02,103.09,103.01,103.03,97560,1
18:20:00,103.02,103.08,102.98,103.05,571940,1
18:21:00,103.03,103.08,103.0,103.01,388470,1
18:22:00,103.01,103.05,102.99,103.03,511640,1
18:23:00,103.02,103.06,103.01,103.03,494850,1
18:24:00,103.03,103.08,102.96,103.05,666230,1
18:25:00,103.07,103.11,103.02,103.05,525120,1
18:26:00,103.05,103.07,102.95,103.01,1596950,1
18:27:00,103.0,103.02,102.97,103.01,954420,1
18:28:00,103.03,103.05,103.0,103.0,50270,1
18:29:00,103.04,103.04,102.97,103.04,2671410,1
18:30:00,103.02,103.1,103.0,103.1,126940,1
18:31:00,103.1,103.13,103.03,103.05,177150,1
18:32:00,103.05,103.1,102.98,103.09,1041810,1
18:33:00,103.08,103.14,103.07,103.14,94230,1
18:34:00,103.13,103.15,103.01,103.06,298850,1
